,week,libelle,store,moyenne_demande,ecart_type_demande,somme,stock_de_securite,durée_conservation,Categorie,Sous-Categorie,piece,kg,reappro,stock
44,2022-01-03,CHOU BROCOLI,ST OUEN,7.827142857142857,2.423363463492523,54.79,3.998549714762663,20,Légumes,Chou,,3.36,10.0,51.780238721780904
45,2022-01-03,CHOU CHINOIS PE TSAI,ST OUEN,0.8,,0.8,,20,Légumes,Chou,,0.44,10.0,
46,2022-01-03,CHOU KALE BOTTE,GRENELLE,4.7,3.806135397836849,18.8,6.280123406430801,20,Légumes,Chou,1.0,,10.0,43.35949395125667
47,2022-01-03,CHOU KALE BOTTE,ST OUEN,1.6666666666666667,1.1547005383792517,5.0,1.905255888325765,20,Légumes,Chou,1.0,,10.0,14.358281465890162
48,2022-01-03,CHOU RAVE MIXTE PIECE,ST OUEN,4.5475,2.1584774726644707,18.19,3.5614878298963766,20,Légumes,Chou,3.0,,10.0,33.999913401442875
49,2022-01-03,CHOU ROMANESCO PIECE,GAMBETTA,2.6333333333333333,1.484362938547488,7.9,2.449198848603355,20,Légumes,Chou,2.0,,10.0,20.91171347091517
50,2022-01-03,CHOU ROMANESCO PIECE,GRENELLE,2.7600000000000002,2.11730961363708,13.8,3.4935608625011816,20,Légumes,Chou,2.0,,10.0,24.847609469926063
51,2022-01-03,CHOU ROMANESCO PIECE,MONTORGUEIL,1.4,0.565685424949238,2.8,0.9333809511662426,20,Légumes,Chou,2.0,,10.0,9.951609730299722
52,2022-01-03,CHOU ROUGE PIECE,GAMBETTA,1.5,0.7071067811865476,3.0,1.1667261889578033,20,Légumes,Chou,,1.9,10.0,11.189512162874653
53,2022-01-03,CHOU ROUGE PIECE,GRENELLE,1.6166666666666665,0.9558591249063151,9.7,1.5771675560954197,20,Légumes,Chou,,1.9,10.0,13.070775062316237
54,2022-01-03,CHOU ROUGE PIECE,MONTORGUEIL,1.9666666666666668,1.0016652800877812,5.9,1.6527477121448388,20,Légumes,Chou,,1.9,10.0,15.059780501343358
55,2022-01-03,CHOU ROUGE PIECE,ST OUEN,1.5666666666666667,1.1547005383792515,4.7,1.9052558883257649,20,Légumes,Chou,,1.9,10.0,13.85828146589016
56,2022-01-03,CHOU VERT FRISE PIECE,GRENELLE,2.942857142857143,2.1227789513254733,20.6,3.5025852696870308,20,Légumes,Chou,1.0,,10.0,25.79043286545185
57,2022-01-03,CHOU VERT FRISE PIECE,MONTORGUEIL,1.0,,1.0,,20,Légumes,Chou,1.0,,10.0,
58,2022-01-03,CHOU VERT FRISE PIECE,ST OUEN,1.225,0.5188127472091126,4.9,0.8560410328950357,20,Légumes,Chou,1.0,,10.0,8.832039434511437
59,2022-01-03,CHOU VERT LISSE PIECE,GAMBETTA,3.0,2.70801280154532,12.0,4.468221122549778,20,Légumes,Chou,2.0,,10.0,29.12975583653164
60,2022-01-03,CHOU VERT LISSE PIECE,GRENELLE,1.54,0.9476286192385707,7.7,1.5635872217436415,20,Légumes,Chou,2.0,,10.0,12.644496941044661
61,2022-01-03,CHOU VERT LISSE PIECE,MONTORGUEIL,0.975,0.04999999999999998,3.9,0.08249999999999996,20,Légumes,Chou,2.0,,10.0,5.135887906963891
62,2022-01-03,CHOU VERT LISSE PIECE,ST OUEN,1.1800000000000002,0.4604345773288535,5.9,0.7597170525926082,20,Légumes,Chou,2.0,,10.0,8.302436263462571
63,2022-01-03,CITRON BERGAMOTE,GAMBETTA,1.38,0.8471717653463197,4.14,1.3978334128214274,30,Fruits,Citron,,0.76,15.0,15.763785528629665
64,2022-01-03,CITRON BERGAMOTE,GRENELLE,1.1171428571428572,0.6789627944081149,7.82,1.1202886107733896,30,Fruits,Citron,,0.76,15.0,12.717430561042612
65,2022-01-03,CITRON BERGAMOTE,MONTORGUEIL,0.4,0.4202380277890139,2.0,0.6933927458518729,30,Fruits,Citron,,0.76,15.0,5.685498557065336
66,2022-01-03,CITRON BERGAMOTE,ST OUEN,1.374,1.2780571192243326,6.87,2.108794246720149,30,Fruits,Citron,,0.76,15.0,18.472324998125153
67,2022-01-03,CITRON FEUILLE CAL 3/4,GRENELLE,1.794285714285714,0.9296210185313356,12.559999999999999,1.5338746805767036,30,Fruits,Citron,,0.25,15.0,19.39781395018565
68,2022-01-03,CITRON FEUILLE CAL 3/4,MONTORGUEIL,0.41500000000000004,0.10606601717798209,0.8300000000000001,0.17500892834367043,30,Fruits,Citron,,0.25,15.0,3.790306664912643
69,2022-01-03,CITRON JAUNE CAL 3-4,GAMBETTA,5.751428571428571,1.9866422977092828,40.26,3.2779597912203164,30,Fruits,Citron,,3.26,15.0,55.831197966648105
70,2022-01-03,CITRON JAUNE CAL 3-4,GRENELLE,5.340000000000001,1.4998999966664446,37.38,2.4748349944996333,30,Fruits,Citron,,3.26,15.0,49.634994718308405
71,2022-01-03,CITRON JAUNE CAL 3-4,MONTORGUEIL,3.6485714285714286,1.4365285537413748,25.54,2.370272113673268,30,Fruits,Citron,,3.26,15.0,36.544310136522135
72,2022-01-03,CITRON JAUNE CAL 3-4,ST OUEN,6.505714285714285,1.2462324173665353,45.54,2.0562834886547834,30,Fruits,Citron,,3.26,15.0,56.7568088494984
73,2022-01-03,CITRON VERT,GAMBETTA,0.7633333333333333,0.4778144688753855,4.58,0.788393873644386,30,Fruits,Citron,,0.29,15.0,8.778436342876661
74,2022-01-03,CITRON VERT,GRENELLE,0.8142857142857143,0.4125472555904815,5.7,0.6807029717242944,30,Fruits,Citron,,0.29,15.0,8.743494130344947
75,2022-01-03,CITRON VERT,ST OUEN,0.985,0.45890086075316966,5.91,0.7571864202427299,30,Fruits,Citron,,0.29,15.0,10.320070395574504
76,2022-01-03,CLEMENTINE BQT CORSE 500G,GAMBETTA,5.483333333333333,5.625092591830526,32.9,9.281402776520368,14,Fruits,Clementine,,7.0,7.0,43.74795023116396
77,2022-01-03,COURGE BUTTERNUT,GAMBETTA,7.151666666666667,4.955955676422728,42.910000000000004,8.1773268660975,60,Légumes,Courge,,6.3,30.0,152.06406384654628
78,2022-01-03,COURGE BUTTERNUT,GRENELLE,9.361666666666666,4.685336345094838,56.17,7.730804969406483,60,Légumes,Courge,,6.3,30.0,182.76836269416964
79,2022-01-03,COURGE BUTTERNUT,MONTORGUEIL,4.54,2.810523082986511,27.240000000000002,4.637363086927743,60,Légumes,Courge,,6.3,30.0,93.49988370052114
80,2022-01-03,COURGE BUTTERNUT,ST OUEN,5.864,1.7522357147370329,29.32,2.891188929316104,60,Légumes,Courge,,6.3,30.0,103.79569394595639
81,2022-01-03,COURGE MIX PANACHE,GRENELLE,2.16,2.628687885618983,8.64,4.337335011271321,60,Légumes,Courge,,0.76,30.0,56.156562251302276
82,2022-01-03,COURGE MIX PANACHE,MONTORGUEIL,0.6000000000000001,0.05656854249492373,1.2000000000000002,0.09333809511662415,60,Légumes,Courge,,0.76,30.0,9.51123380169938
83,2022-01-03,COURGE POTIMARRON,GAMBETTA,4.630000000000001,3.6400824166493817,32.410000000000004,6.006135987471479,30,Fruits,Marron,,3.62,15.0,57.98666465453409
84,2022-01-03,COURGE POTIMARRON,GRENELLE,7.497142857142856,4.342893483557225,52.48,7.16577424786942,30,Fruits,Marron,,3.62,15.0,83.98149575325166
85,2022-01-03,COURGE POTIMARRON,MONTORGUEIL,3.0383333333333336,1.8003712580094882,18.23,2.970612575715655,30,Fruits,Marron,,3.62,15.0,34.29263303378106
86,2022-01-03,COURGE POTIMARRON,ST OUEN,6.235714285714286,2.7436281158522995,43.65,4.526986391156294,30,Fruits,Marron,,3.62,15.0,64.30080004431309
87,2022-01-03,COURGE SHIATSU,GRENELLE,0.49,,0.49,,60,Légumes,Courge,,0.87,30.0,
88,2022-01-03,COURGE SPAGHETTI,GRENELLE,0.48,0.0707106781186548,0.96,0.1166726188957804,60,Légumes,Courge,,0.46,30.0,7.839042252124224
89,2022-01-03,COURGETTE 14-21,GAMBETTA,10.421428571428573,4.489073507126047,72.95,7.406971286757978,7,Légumes,Courgette,,5.51,3.5,32.09467441436024
90,2022-01-03,COURGETTE 14-21,GRENELLE,16.63,4.985345190321997,116.41,8.225819564031294,7,Légumes,Courgette,,5.51,3.5,44.49159926701365
91,2022-01-03,COURGETTE 14-21,MONTORGUEIL,7.488333333333333,2.755659025835139,44.93,4.546837392627979,7,Légumes,Courgette,,5.51,3.5,21.610937191626558
92,2022-01-03,COURGETTE 14-21,ST OUEN,11.925714285714283,4.161129082123654,83.47999999999999,6.865862985504029,7,Légumes,Courgette,,5.51,3.5,33.71485347814446
93,2022-01-03,DATTE FRAICHE MAZAFATI 250G,GAMBETTA,1.1800000000000002,0.40249223594996214,5.9,0.6641121893174375,180,Fruits,Datte,1.0,,90.0,59.400321420372144
94,2022-01-03,DATTE FRAICHE MAZAFATI 250G,GRENELLE,3.3166666666666664,1.7209493504071138,19.9,2.8395664281717377,180,Fruits,Datte,1.0,,90.0,176.18849244111482
95,2022-01-03,DATTE MEDJOOL,GRENELLE,0.29,0.16643316977093237,0.87,0.2746147301220384,180,Fruits,Datte,,0.78,90.0,15.655224078654271
96,2022-01-03,DATTE MEDJOOL,MONTORGUEIL,0.30666666666666664,0.2874601421646718,0.9199999999999999,0.4743092345717084,180,Fruits,Datte,,0.78,90.0,18.29969248949303
97,2022-01-03,DATTE MEDJOOL,ST OUEN,0.7849999999999999,0.9404520189781082,1.5699999999999998,1.5517458313138783,180,Fruits,Datte,,0.78,90.0,50.04615352986986
